,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
63456,CHI07CA306,Non-Fatal,Substantial,Airplane,Piper,PA-12,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63461,DFW07CA210,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63462,DFW07CA209,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,No,2.0,Reciprocating,0.0,0.0,0.0,1.0
63463,DCA07MA310,Non-Fatal,Substantial,Airplane,Mcdonnell Douglas,DC-9-82 (MD-82),No,2.0,Turbo Fan,0.0,0.0,0.0,143.0
63466,NYC07LA241,Non-Fatal,Substantial,Airplane,Everson,Sidewinder,Yes,1.0,Reciprocating,0.0,1.0,0.0,0.0
63468,LAX07CA283,Non-Fatal,Substantial,Airplane,Luscombe,8E,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63469,LAX07CA282,Non-Fatal,Substantial,Airplane,Piper,J5A,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63470,DFW07CA211,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63472,CHI08CA011,Non-Fatal,Substantial,Airplane,Cessna,172P,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63473,CHI07CA311,Non-Fatal,Substantial,Airplane,Grumman American,AA-5 Traveler,No,1.0,Reciprocating,0.0,0.0,3.0,1.0
63474,CHI07CA308,Non-Fatal,Substantial,Airplane,Cessna,172 SP,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63476,NYC07LA244,Non-Fatal,Substantial,Airplane,Beech,F33A,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
63478,NYC07CA242,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63479,LAX07CA288,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63480,LAX07CA286,Non-Fatal,Substantial,Airplane,Cessna,182F,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
